,0,1,2,3,4,5,6,7,8,9
0,31.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,31.0,0.0,40.0,22.0,25.0,47.0,27.0,45.0,0.0
2,14.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,15.0,0.0,56.0,19.0,25.0,47.0,0.0,14.0,0.0
4,4.0,0.0,0.0,0.0,19.0,25.0,47.0,20.0,0.0,0.0
5,0.0,11.0,8.0,0.0,19.0,25.0,47.0,20.0,55.0,50.0
6,11.0,0.0,43.0,0.0,19.0,4.0,47.0,0.0,45.0,0.0
7,0.0,0.0,0.0,47.0,19.0,0.0,0.0,55.0,45.0,41.0
8,37.0,35.0,0.0,0.0,0.0,43.0,48.0,0.0,0.0,0.0
9,45.0,29.0,43.0,24.0,47.0,38.0,48.0,0.0,2.0,55.0
10,45.0,29.0,59.0,0.0,47.0,38.0,36.0,4.0,2.0,30.0
11,25.0,41.0,59.0,29.0,47.0,36.0,50.0,0.0,34.0,30.0
12,59.0,41.0,54.0,29.0,38.0,52.0,1.0,19.0,34.0,25.0
13,59.0,41.0,54.0,29.0,38.0,32.0,1.0,19.0,34.0,25.0
14,59.0,41.0,8.0,29.0,53.0,32.0,23.0,19.0,34.0,25.0
15,9.0,57.0,22.0,29.0,50.0,32.0,26.0,38.0,13.0,10.0
16,9.0,57.0,22.0,29.0,50.0,32.0,26.0,37.0,13.0,11.0
17,9.0,57.0,22.0,17.0,50.0,32.0,26.0,37.0,13.0,52.0
18,9.0,17.0,46.0,19.0,29.0,20.0,26.0,36.0,12.0,54.0
19,33.0,44.0,46.0,35.0,50.0,20.0,26.0,36.0,54.0,16.0
20,33.0,5.0,51.0,35.0,50.0,43.0,27.0,58.0,37.0,17.0
21,33.0,5.0,51.0,9.0,50.0,43.0,11.0,58.0,37.0,17.0
22,40.0,5.0,51.0,9.0,10.0,43.0,11.0,58.0,37.0,29.0
23,40.0,5.0,51.0,39.0,10.0,43.0,11.0,58.0,37.0,9.0
24,40.0,5.0,51.0,39.0,10.0,23.0,35.0,2.0,37.0,9.0
25,33.0,13.0,51.0,37.0,10.0,23.0,35.0,0.0,0.0,9.0
26,33.0,45.0,51.0,12.0,10.0,37.0,35.0,0.0,57.0,9.0
27,24.0,56.0,51.0,22.0,31.0,53.0,44.0,57.0,2.0,18.0
28,3.0,34.0,51.0,22.0,31.0,29.0,44.0,57.0,2.0,18.0
29,3.0,45.0,58.0,38.0,31.0,5.0,39.0,57.0,17.0,18.0
