,0,1,2,3,4,5,6,7,8,9
0,2.0,9.0,28.0,24.0,15.0,6.0,4.0,20.0,29.0,25.0
1,31.0,9.0,39.0,19.0,36.0,0.0,4.0,20.0,18.0,26.0
2,31.0,20.0,39.0,30.0,36.0,9.0,7.0,8.0,0.0,26.0
3,31.0,21.0,14.0,36.0,0.0,9.0,34.0,0.0,0.0,26.0
4,1.0,21.0,5.0,36.0,0.0,9.0,34.0,19.0,27.0,17.0
5,12.0,29.0,28.0,10.0,14.0,23.0,34.0,25.0,27.0,17.0
6,2.0,36.0,1.0,24.0,12.0,23.0,32.0,26.0,9.0,17.0
7,2.0,22.0,1.0,24.0,0.0,23.0,32.0,21.0,0.0,11.0
8,12.0,19.0,0.0,5.0,13.0,34.0,20.0,26.0,10.0,11.0
9,12.0,5.0,30.0,0.0,13.0,35.0,20.0,26.0,10.0,1.0
10,33.0,16.0,23.0,15.0,19.0,30.0,20.0,18.0,5.0,1.0
11,33.0,16.0,18.0,15.0,19.0,30.0,0.0,32.0,6.0,1.0
12,38.0,10.0,21.0,15.0,26.0,3.0,19.0,24.0,6.0,36.0
13,4.0,31.0,20.0,39.0,26.0,33.0,21.0,11.0,6.0,1.0
14,23.0,31.0,12.0,33.0,26.0,0.0,21.0,11.0,0.0,1.0
15,29.0,30.0,36.0,0.0,33.0,0.0,21.0,11.0,9.0,37.0
16,39.0,32.0,36.0,13.0,26.0,29.0,24.0,8.0,20.0,27.0
17,39.0,31.0,36.0,19.0,26.0,11.0,0.0,8.0,1.0,22.0
18,39.0,31.0,36.0,24.0,26.0,11.0,19.0,8.0,34.0,22.0
19,39.0,31.0,2.0,24.0,26.0,11.0,20.0,8.0,0.0,33.0
