,0,1,2,3,4,5,6,7,8,9
14,0,18,34,57,23,0,0,7,56,6
4,12,50,9,43,21,33,53,40,15,31
10,27,43,52,30,11,9,1,17,21,38
23,29,43,23,35,12,44,1,20,21,17
12,29,36,23,35,16,25,51,13,26,17
8,29,14,22,49,16,25,51,13,9,13
28,29,55,15,49,51,25,51,13,9,13
24,29,43,17,49,51,25,19,24,9,13
6,29,43,17,55,11,25,20,48,7,13
30,43,43,17,55,11,25,22,48,7,48
22,34,43,17,55,17,25,22,48,59,48
15,34,43,17,53,17,25,22,48,59,44
2,38,59,34,2,3,19,52,55,10,40
18,38,38,34,2,39,19,52,55,10,40
27,49,26,34,2,39,19,52,55,10,40
16,49,16,34,2,39,19,52,55,24,10
3,49,54,34,2,39,19,52,55,24,10
29,59,54,34,2,39,19,12,55,14,10
7,59,18,5,25,39,13,38,4,14,10
17,59,18,5,25,39,13,38,4,26,33
1,23,18,49,12,5,32,38,43,51,33
9,23,18,49,27,5,32,38,43,58,33
26,23,18,47,35,5,34,38,43,49,33
13,23,55,52,35,5,50,1,7,49,27
11,41,7,52,2,5,50,42,50,21,27
19,41,7,52,2,25,50,6,50,21,27
5,7,13,45,19,25,48,40,31,36,57
21,36,40,45,17,56,10,25,31,24,57
20,36,46,45,17,56,10,20,31,2,21
25,17,21,32,14,10,6,30,31,24,27
