,0,1,2,3,4,5,6,7,8,9
6,18,27,3,0,0,0,0,0,0,1
17,18,34,8,36,0,28,11,0,5,19
10,37,34,8,36,0,15,11,0,5,18
2,37,1,8,25,0,27,0,0,5,18
7,37,1,17,25,7,27,20,0,5,15
5,37,1,17,0,7,16,20,27,5,25
9,37,1,17,36,35,16,20,27,2,25
16,37,32,17,39,35,18,34,27,2,33
4,15,6,7,21,2,16,30,36,37,33
20,23,19,15,21,36,38,1,20,37,3
13,13,20,12,21,36,38,9,0,37,32
15,13,20,12,21,36,38,27,0,37,0
14,28,20,12,37,36,38,27,0,0,21
3,38,20,37,0,4,18,27,0,0,21
18,38,20,37,0,4,18,29,0,27,21
11,33,20,37,29,4,18,0,0,27,21
8,33,20,29,26,17,21,19,7,35,10
12,33,20,8,26,5,21,19,37,3,10
19,4,12,38,20,22,9,32,25,28,16
1,23,12,38,27,22,9,32,25,28,16
