,时间,温度
0,2010-08-01 00:00:00,31.061945828987103
9,2010-08-01 01:00:00,31.93292697921
18,2010-08-01 02:00:00,35.2456789435097
27,2010-08-01 03:00:00,35.5288121782435
36,2010-08-01 04:00:00,36.00015315036273
45,2010-08-01 05:00:00,37.11954003080767
54,2010-08-01 06:00:00,37.747154773229774
63,2010-08-01 07:00:00,37.83052269415546
72,2010-08-01 08:00:00,37.47333332992657
81,2010-08-01 09:00:00,36.718420921123894
90,2010-08-01 10:00:00,34.75127759378883
99,2010-08-01 11:00:00,33.75212237328598
108,2010-08-01 12:00:00,32.958867293886684
117,2010-08-01 13:00:00,32.60014422283396
126,2010-08-01 14:00:00,31.59584012942243
135,2010-08-01 15:00:00,30.952833543517993
144,2010-08-01 16:00:00,30.851444567411956
153,2010-08-01 17:00:00,30.026200745686385
162,2010-08-01 18:00:00,29.96896061601009
171,2010-08-01 19:00:00,29.554804998323448
180,2010-08-01 20:00:00,28.957645291403757
189,2010-08-01 21:00:00,28.90566358512355
198,2010-08-01 22:00:00,30.56338156074429
207,2010-08-01 23:00:00,31.174563730053578
216,2010-08-02 00:00:00,32.16862485289144
225,2010-08-02 01:00:00,32.87013139907753
234,2010-08-02 02:00:00,36.346716117312
243,2010-08-02 03:00:00,36.749149832844815
252,2010-08-02 04:00:00,36.6835838661247
261,2010-08-02 05:00:00,37.7455662911622
270,2010-08-02 06:00:00,38.12428232616887
279,2010-08-02 07:00:00,38.02048323933959
288,2010-08-02 08:00:00,36.97038704218701
297,2010-08-02 09:00:00,35.786365374165
306,2010-08-02 10:00:00,34.08915444782981
315,2010-08-02 11:00:00,34.01717977759567
324,2010-08-02 12:00:00,33.96054217560018
333,2010-08-02 13:00:00,33.67779236757232
342,2010-08-02 14:00:00,32.00966709564682
351,2010-08-02 15:00:00,31.286633878682967
360,2010-08-02 16:00:00,30.973867237102393
369,2010-08-02 17:00:00,30.099161370307268
378,2010-08-02 18:00:00,30.020285019365776
387,2010-08-02 19:00:00,29.95784124153709
396,2010-08-02 20:00:00,28.983882633140556
405,2010-08-02 21:00:00,28.583694702599807
414,2010-08-02 22:00:00,30.97304560844679
423,2010-08-02 23:00:00,31.50381771999069
432,2010-08-03 00:00:00,32.19141135427454
441,2010-08-03 01:00:00,32.87610190064182
450,2010-08-03 02:00:00,36.39141271617885
459,2010-08-03 03:00:00,36.90996994837556
468,2010-08-03 04:00:00,36.845609037017056
477,2010-08-03 05:00:00,38.40998999735699
486,2010-08-03 06:00:00,38.649741239072966
495,2010-08-03 07:00:00,38.779668117151616
504,2010-08-03 08:00:00,38.02995935650131
513,2010-08-03 09:00:00,38.08331044387424
522,2010-08-03 10:00:00,34.563617608840474
531,2010-08-03 11:00:00,34.076775242751495
540,2010-08-03 12:00:00,34.31674558544231
549,2010-08-03 13:00:00,33.83176557763941
558,2010-08-03 14:00:00,32.23501244826721
567,2010-08-03 15:00:00,31.711142017430703
576,2010-08-03 16:00:00,31.75309985411208
585,2010-08-03 17:00:00,31.043431796613334
594,2010-08-03 18:00:00,30.941440292826478
603,2010-08-03 19:00:00,30.819346274598225
612,2010-08-03 20:00:00,29.645677127637313
621,2010-08-03 21:00:00,29.555078874541987
630,2010-08-03 22:00:00,31.381504600787636
639,2010-08-03 23:00:00,31.97756880283313
648,2010-08-04 00:00:00,32.76129298982698
657,2010-08-04 01:00:00,33.428400682963535
666,2010-08-04 02:00:00,36.91161320568684
675,2010-08-04 03:00:00,37.45618867864555
684,2010-08-04 04:00:00,37.588251791228856
693,2010-08-04 05:00:00,36.74799955272693
702,2010-08-04 06:00:00,34.55386761546022
711,2010-08-04 07:00:00,33.24736850250403
720,2010-08-04 08:00:00,32.365980055976365
729,2010-08-04 09:00:00,33.07219727312142
738,2010-08-04 10:00:00,31.459449772586066
747,2010-08-04 11:00:00,31.479826163245978
756,2010-08-04 12:00:00,30.830465649071243
765,2010-08-04 13:00:00,30.504114747050746
774,2010-08-04 14:00:00,29.472149155565987
783,2010-08-04 15:00:00,29.346932948446344
792,2010-08-04 16:00:00,29.26246952264647
801,2010-08-04 17:00:00,28.7990709608651
810,2010-08-04 18:00:00,28.54485905480986
819,2010-08-04 19:00:00,28.378342313933334
828,2010-08-04 20:00:00,27.855950814676955
837,2010-08-04 21:00:00,27.8088441050869
846,2010-08-04 22:00:00,29.627108320019843
855,2010-08-04 23:00:00,30.025707768493014
864,2010-08-05 00:00:00,30.520930746869542
873,2010-08-05 01:00:00,31.09234608924581
882,2010-08-05 02:00:00,34.22516137796023
891,2010-08-05 03:00:00,34.527520723236
900,2010-08-05 04:00:00,34.99672546085057
909,2010-08-05 05:00:00,35.436187241130966
918,2010-08-05 06:00:00,35.71822497099055
927,2010-08-05 07:00:00,35.400911984182095
936,2010-08-05 08:00:00,34.12278644746738
945,2010-08-05 09:00:00,34.44771319315142
954,2010-08-05 10:00:00,31.075146662721068
963,2010-08-05 11:00:00,30.9445624817179
972,2010-08-05 12:00:00,30.64001212669373
981,2010-08-05 13:00:00,30.309881732857257
990,2010-08-05 14:00:00,29.39475173620462
999,2010-08-05 15:00:00,29.010010424389932
1008,2010-08-05 16:00:00,28.662571053541324
1017,2010-08-05 17:00:00,27.74985116761188
1026,2010-08-05 18:00:00,27.585306335508896
1035,2010-08-05 19:00:00,27.34237812965779
1044,2010-08-05 20:00:00,26.969139619022055
1053,2010-08-05 21:00:00,27.011261781434587
1062,2010-08-05 22:00:00,28.55723825988819
1071,2010-08-05 23:00:00,29.007655088910422
1080,2010-08-06 00:00:00,29.503316269236635
1089,2010-08-06 01:00:00,30.029487260308965
1098,2010-08-06 02:00:00,31.80776554733405
