小时,温度,风力方向,风级,降水量,相对湿度,空气质量
11,36.5,南风,2,0,50,
10,35.0,南风,2,0,56,45
09,33.1,南风,2,0,62,34
08,31.0,南风,2,0,68,30
07,29.2,西南风,2,0,75,29
06,28.1,西南风,1,0,79,28
05,28.1,西南风,2,0,78,27
04,28.0,南风,1,0,78,27
03,28.4,西北风,1,0,78,28
02,28.8,西南风,1,0,72,29
01,29.0,西北风,1,0,72,29
00,29.5,西北风,1,0,70,30
23,30.0,西北风,2,0,67,32
22,30.5,西北风,2,0,65,32
21,31.2,西南风,1,0,60,34
20,31.6,西北风,1,0,59,37
19,32.1,东北风,1,0,56,41
18,32.6,西北风,3,0,52,46
17,37.2,东风,2,0,47,92
16,37.8,东北风,2,0,46,118
15,39.1,东风,3,0,45,121
14,39.0,北风,1,0.0,46,113
13,38.8,东风,2,0,45,107
12,38.5,西风,2,0,46,101
小时,温度,风力方向,风级,降水量,相对湿度,空气质量
9,晴,30,40,东风,西南风,4
10,雷阵雨转晴,28,41,无持续风向,南风,3
11,雷阵雨,27,39,无持续风向,无持续风向,3
12,雷阵雨转晴,27,39,东南风,无持续风向,4
13,晴,27,37,东风,无持续风向,5
14,雷阵雨转晴,26,37,东南风,无持续风向,4
