小时,温度,风力方向,风级,降水量,相对湿度,空气质量
11,33.1,西南风,3,0,67,
10,31.9,西南风,3,0,70,17
09,31.0,西南风,3,0,74,16
08,29.9,西南风,2,0,81,14
07,28.8,西南风,2,0,86,14
06,28.2,西南风,2,0,85,14
05,28.5,西南风,2,0,83,15
04,28.8,西南风,2,0,83,17
03,28.7,西南风,2,0,84,18
02,29.1,西南风,2,0,83,18
01,29.3,西南风,3,0,84,18
00,29.6,西南风,3,0,83,18
23,29.6,西南风,2,0,85,19
22,29.6,西南风,2,0,86,21
21,29.8,西南风,1,0,84,26
20,29.3,西南风,1,0,81,25
19,29.7,东风,1,0,74,27
18,30.3,东南风,1,0,73,28
17,29.8,西南风,2,0,75,26
16,28.8,南风,1,0,76,27
15,27.1,西风,2,0.1,83,30
14,32.8,北风,1,8.6,69,33
13,32.9,东风,3,0,75,34
12,33.0,东风,3,0,76,34
