,FH
2024-03-18 00:00:00,110.29391805067489
2024-03-18 00:00:15,110.32872067672461
2024-03-18 00:00:30,110.36388826999936
2024-03-18 00:00:45,110.39942074207379
2024-03-18 00:01:00,110.43531800354886
2024-03-18 00:01:15,110.47157996255048
2024-03-18 00:01:30,110.50820652593012
2024-03-18 00:01:45,110.54519759715168
2024-03-18 00:02:00,110.5825530793466
2024-03-18 00:02:15,110.62027287260427
2024-03-18 00:02:30,110.65835687455105
2024-03-18 00:02:45,110.69680498348296
2024-03-18 00:03:00,110.73561709279416
2024-03-18 00:03:15,110.77479309502445
2024-03-18 00:03:30,110.8143328814151
2024-03-18 00:03:45,110.85423633996997
2024-03-18 00:04:00,110.89450335716649
2024-03-18 00:04:15,110.93513381633962
2024-03-18 00:04:30,110.97612760200086
2024-03-18 00:04:45,111.01748459328269
2024-03-18 00:05:00,111.05920466819497
2024-03-18 00:05:15,111.10128770282698
2024-03-18 00:05:30,111.14373357198839
2024-03-18 00:05:45,111.18654214649676
2024-03-18 00:06:00,111.22971329668421
2024-03-18 00:06:15,111.27324689064788
2024-03-18 00:06:30,111.31714279300087
2024-03-18 00:06:45,111.36140086766369
2024-03-18 00:07:00,111.4060209755181
2024-03-18 00:07:15,111.45100297419425
2024-03-18 00:07:30,111.49634672278297
2024-03-18 00:07:45,111.54205207459538
2024-03-18 00:08:00,111.58811888136756
2024-03-18 00:08:15,111.63454699421115
2024-03-18 00:08:30,111.6813362600043
2024-03-18 00:08:45,111.72848652492638
2024-03-18 00:09:00,111.77599763052982
2024-03-18 00:09:15,111.8238694202724
2024-03-18 00:09:30,111.87210173137241
2024-03-18 00:09:45,111.92069439993752
2024-03-18 00:10:00,111.96964725988688
2024-03-18 00:10:15,112.01896014366238
2024-03-18 00:10:30,112.06863287927948
2024-03-18 00:10:45,112.11866529412406
2024-03-18 00:11:00,112.16905721330427
2024-03-18 00:11:15,112.21980845830515
2024-03-18 00:11:30,112.2709188485636
2024-03-18 00:11:45,112.32238820115809
2024-03-18 00:12:00,112.37421633063792
2024-03-18 00:12:15,112.42640304958609
2024-03-18 00:12:30,112.47894816849539
2024-03-18 00:12:45,112.53185149332755
2024-03-18 00:13:00,112.58511283020339
2024-03-18 00:13:15,112.63873198048172
2024-03-18 00:13:30,112.69270874432111
2024-03-18 00:13:45,112.74704291740787
2024-03-18 00:14:00,112.80173429697295
2024-03-18 00:14:15,112.856782673779
2024-03-18 00:14:30,112.91218783712961
2024-03-18 00:14:45,112.96794957322611
2024-03-18 00:15:00,113.02406766772809
2024-03-18 00:15:15,113.08054190107993
2024-03-18 00:15:30,113.13737205168243
2024-03-18 00:15:45,113.19455789747977
2024-03-18 00:16:00,113.25209921146318
2024-03-18 00:16:15,113.30999576425255
2024-03-18 00:16:30,113.36824732357164
2024-03-18 00:16:45,113.42685365472039
2024-03-18 00:17:00,113.48581452079986
2024-03-18 00:17:15,113.54512968251802
2024-03-18 00:17:30,113.60479889537024
2024-03-18 00:17:45,113.66482191525142
2024-03-18 00:18:00,113.72519849298446
2024-03-18 00:18:15,113.78592837712732
2024-03-18 00:18:30,113.84701131211916
2024-03-18 00:18:45,113.90844704391294
2024-03-18 00:19:00,113.97023531084373
2024-03-18 00:19:15,114.03237585084644
2024-03-18 00:19:30,114.09486839701162
2024-03-18 00:19:45,114.1577126823935
2024-03-18 00:20:00,114.22090843445984
2024-03-18 00:20:15,114.2844553778228
2024-03-18 00:20:30,114.34835323729332
2024-03-18 00:20:45,114.41260173153762
2024-03-18 00:21:00,114.4772005769281
2024-03-18 00:21:15,114.54214948698247
2024-03-18 00:21:30,114.6074481714127
2024-03-18 00:21:45,114.6730963385542
2024-03-18 00:22:00,114.73909369272785
2024-03-18 00:22:15,114.80543993614407
2024-03-18 00:22:30,114.87213476598387
2024-03-18 00:22:45,114.93917787777251
2024-03-18 00:23:00,115.00656896331807
2024-03-18 00:23:15,115.07430771113448
2024-03-18 00:23:30,115.14239380603458
2024-03-18 00:23:45,115.21082693278242
2024-03-18 00:24:00,115.27960676986186
2024-03-18 00:24:15,115.34873299207673
2024-03-18 00:24:30,115.41820527407924
2024-03-18 00:24:45,115.48802328459023
2024-03-18 00:25:00,115.55818668815832
2024-03-18 00:25:15,115.62869515138136
2024-03-18 00:25:30,115.69954833229754
2024-03-18 00:25:45,115.77074588695334
2024-03-18 00:26:00,115.84228746909959
2024-03-18 00:26:15,115.91417272718805
2024-03-18 00:26:30,115.9864013094722
2024-03-18 00:26:45,116.05897285628464
2024-03-18 00:27:00,116.13188701072211
2024-03-18 00:27:15,116.20514340710373
2024-03-18 00:27:30,116.27874167852163
2024-03-18 00:27:45,116.35268145407544
2024-03-18 00:28:00,116.42696235965768
2024-03-18 00:28:15,116.50158401553693
2024-03-18 00:28:30,116.57654604457822
2024-03-18 00:28:45,116.65184805912585
2024-03-18 00:29:00,116.72748967280255
2024-03-18 00:29:15,116.8034704928314
2024-03-18 00:29:30,116.87979012421333
2024-03-18 00:29:45,116.95644816593328
2024-03-18 00:30:00,117.03344421925088
2024-03-18 00:30:15,117.11077787614163
2024-03-18 00:30:30,117.18844872652782
2024-03-18 00:30:45,117.26645635746718
2024-03-18 00:31:00,117.34480035061975
2024-03-18 00:31:15,117.42348028720427
2024-03-18 00:31:30,117.50249573956803
2024-03-18 00:31:45,117.5818462836231
2024-03-18 00:32:00,117.66153148524616
2024-03-18 00:32:15,117.74155090877203
2024-03-18 00:32:30,117.82190411439849
2024-03-18 00:32:45,117.90259065937573
2024-03-18 00:33:00,117.98361009413966
2024-03-18 00:33:15,118.06496197199327
2024-03-18 00:33:30,118.14664583491678
2024-03-18 00:33:45,118.22866122637551
2024-03-18 00:34:00,118.31100768256343
2024-03-18 00:34:15,118.39368473753854
2024-03-18 00:34:30,118.47669192066496
2024-03-18 00:34:45,118.56002875565298
2024-03-18 00:35:00,118.64369476835266
2024-03-18 00:35:15,118.72768947461543
2024-03-18 00:35:30,118.81201238706684
2024-03-18 00:35:45,118.89666301773065
2024-03-18 00:36:00,118.98164087119417
2024-03-18 00:36:15,119.06694544763012
2024-03-18 00:36:30,119.15257624828426
2024-03-18 00:36:45,119.23853276530869
2024-03-18 00:37:00,119.32481448808261
2024-03-18 00:37:15,119.41142090193324
2024-03-18 00:37:30,119.49835148856211
2024-03-18 00:37:45,119.5856057239438
2024-03-18 00:38:00,119.67318308226665
2024-03-18 00:38:15,119.76108303250254
2024-03-18 00:38:30,119.8493050404424
2024-03-18 00:38:45,119.9378485655194
2024-03-18 00:39:00,120.02671306416981
2024-03-18 00:39:15,120.11589798813708
2024-03-18 00:39:30,120.20540278377132
2024-03-18 00:39:45,120.29522689817043
2024-03-18 00:40:00,120.38536976917038
2024-03-18 00:40:15,120.4758308304179
2024-03-18 00:40:30,120.5666095148197
2024-03-18 00:40:45,120.6577052473937
2024-03-18 00:41:00,120.7491174485511
2024-03-18 00:41:15,120.84084553962008
2024-03-18 00:41:30,120.93288893232081
2024-03-18 00:41:45,121.02524703515394
2024-03-18 00:42:00,121.11791925280895
2024-03-18 00:42:15,121.21090498403296
2024-03-18 00:42:30,121.30420362669479
2024-03-18 00:42:45,121.39781456979317
2024-03-18 00:43:00,121.49173720103259
2024-03-18 00:43:15,121.58597090363004
2024-03-18 00:43:30,121.68051505455855
2024-03-18 00:43:45,121.77536902660462
2024-03-18 00:44:00,121.87053218841278
2024-03-18 00:44:15,121.96600390206113
2024-03-18 00:44:30,122.0617835312378
2024-03-18 00:44:45,122.15787042892364
2024-03-18 00:45:00,122.25426394410206
2024-03-18 00:45:15,122.35096342498834
2024-03-18 00:45:30,122.44796821133923
2024-03-18 00:45:45,122.54527763963145
2024-03-18 00:46:00,122.64289103933945
2024-03-18 00:46:15,122.7408077423727
2024-03-18 00:46:30,122.8390270686427
2024-03-18 00:46:45,122.93754833613538
2024-03-18 00:47:00,123.03637085653533
2024-03-18 00:47:15,123.13549394068365
2024-03-18 00:47:30,123.23491688951927
2024-03-18 00:47:45,123.33463900315476
2024-03-18 00:48:00,123.43465957669954
2024-03-18 00:48:15,123.53497789858203
2024-03-18 00:48:30,123.6355932529373
2024-03-18 00:48:45,123.73650491946661
2024-03-18 00:49:00,123.83771217170691
2024-03-18 00:49:15,123.93921428089514
2024-03-18 00:49:30,124.04101051349487
2024-03-18 00:49:45,124.1431001270683
2024-03-18 00:50:00,124.24548237944194
2024-03-18 00:50:15,124.34815652022819
2024-03-18 00:50:30,124.45112179468106
2024-03-18 00:50:45,124.55437744100294
2024-03-18 00:51:00,124.65792269996194
2024-03-18 00:51:15,124.76175679967704
2024-03-18 00:51:30,124.86587896625585
2024-03-18 00:51:45,124.97028841908535
2024-03-18 00:52:00,125.07498437665402
2024-03-18 00:52:15,125.17996604593556
2024-03-18 00:52:30,125.28523263797545
2024-03-18 00:52:45,125.39078335110325
2024-03-18 00:53:00,125.49661738100805
2024-03-18 00:53:15,125.60273391839358
2024-03-18 00:53:30,125.70913214926735
2024-03-18 00:53:45,125.81581125280834
2024-03-18 00:54:00,125.92277040597999
2024-03-18 00:54:15,126.03000878060126
2024-03-18 00:54:30,126.13752553929672
2024-03-18 00:54:45,126.24531984496525
2024-03-18 00:55:00,126.3533908517279
2024-03-18 00:55:15,126.4617377095155
2024-03-18 00:55:30,126.5703595604313
2024-03-18 00:55:45,126.67925554979446
2024-03-18 00:56:00,126.78842480932266
2024-03-18 00:56:15,126.8978664685648
2024-03-18 00:56:30,127.00757965025053
2024-03-18 00:56:45,127.11756347609395
2024-03-18 00:57:00,127.22781705892507
2024-03-18 00:57:15,127.33833950426487
2024-03-18 00:57:30,127.44912992133015
2024-03-18 00:57:45,127.56018740534708
2024-03-18 00:58:00,127.67151104919603
2024-03-18 00:58:15,127.78309994092899
2024-03-18 00:58:30,127.89495316132579
2024-03-18 00:58:45,128.00706978903784
2024-03-18 00:59:00,128.11944889603242
2024-03-18 00:59:15,128.2320895502089
2024-03-18 00:59:30,128.3449908117483
2024-03-18 00:59:45,128.45815173651957
2024-03-18 01:00:00,128.5715713752864
2024-03-18 01:00:15,128.6852487736234
2024-03-18 01:00:30,128.79918296875005
2024-03-18 01:00:45,128.91337300117112
2024-03-18 01:01:00,129.02781789613735
2024-03-18 01:01:15,129.14251668051114
2024-03-18 01:01:30,129.25746837174987
2024-03-18 01:01:45,129.37267198336605
2024-03-18 01:02:00,129.48812652056208
2024-03-18 01:02:15,129.60383099174155
2024-03-18 01:02:30,129.7197843914595
2024-03-18 01:02:45,129.8359857116552
2024-03-18 01:03:00,129.9524339390583
2024-03-18 01:03:15,130.0691280532974
2024-03-18 01:03:30,130.18606703178352
2024-03-18 01:03:45,130.30324984487572
2024-03-18 01:04:00,130.4206754590335
2024-03-18 01:04:15,130.53834283267088
2024-03-18 01:04:30,130.65625091994744
2024-03-18 01:04:45,130.77439866955746
2024-03-18 01:05:00,130.8927850252277
2024-03-18 01:05:15,131.01140892174908
2024-03-18 01:05:30,131.13026929780122
2024-03-18 01:05:45,131.2493650759601
2024-03-18 01:06:00,131.36869518100315
2024-03-18 01:06:15,131.4882585278336
2024-03-18 01:06:30,131.60805402714172
2024-03-18 01:06:45,131.72808058163724
2024-03-18 01:07:00,131.848337097124
2024-03-18 01:07:15,131.96882246519377
2024-03-18 01:07:30,132.08953557523262
2024-03-18 01:07:45,132.21047530921336
2024-03-18 01:08:00,132.3316405484804
2024-03-18 01:08:15,132.45303016434096
2024-03-18 01:08:30,132.5746430212565
2024-03-18 01:08:45,132.69647798700836
2024-03-18 01:09:00,132.81853391527198
2024-03-18 01:09:15,132.94080965711396
2024-03-18 01:09:30,133.06330405802078
2024-03-18 01:09:45,133.18601595824254
2024-03-18 01:10:00,133.3089441894671
2024-03-18 01:10:15,133.43208758710523
2024-03-18 01:10:30,133.55544497049064
2024-03-18 01:10:45,133.67901516097214
2024-03-18 01:11:00,133.8027969701593
2024-03-18 01:11:15,133.9267892056622
2024-03-18 01:11:30,134.0509906694027
2024-03-18 01:11:45,134.17540015532902
2024-03-18 01:12:00,134.30001646049047
2024-03-18 01:12:15,134.42483836808742
2024-03-18 01:12:30,134.54986465681964
2024-03-18 01:12:45,134.67509410475287
2024-03-18 01:13:00,134.8005254801153
2024-03-18 01:13:15,134.92615754402001
2024-03-18 01:13:30,135.05198906142326
2024-03-18 01:13:45,135.1780187827644
2024-03-18 01:14:00,135.30424545584222
2024-03-18 01:14:15,135.43066782365756
2024-03-18 01:14:30,135.55728462172192
2024-03-18 01:14:45,135.68409458347438
2024-03-18 01:15:00,135.81109643705517
2024-03-18 01:15:15,135.93828890051705
2024-03-18 01:15:30,136.06567069283423
2024-03-18 01:15:45,136.19324052285407
2024-03-18 01:16:00,136.3209970956763
2024-03-18 01:16:15,136.4489391112599
2024-03-18 01:16:30,136.57706526069063
2024-03-18 01:16:45,136.70537423963265
2024-03-18 01:17:00,136.83386472859632
2024-03-18 01:17:15,136.96253540459702
2024-03-18 01:17:30,137.0913849440927
2024-03-18 01:17:45,137.22041201338203
2024-03-18 01:18:00,137.34961527199522
2024-03-18 01:18:15,137.47899338373082
2024-03-18 01:18:30,137.60854499763806
2024-03-18 01:18:45,137.73826876047022
