,FH
2023-08-28 23:54:00,34.404587
2023-08-28 23:54:15,34.407867
2023-08-28 23:54:30,34.4631
2023-08-28 23:54:45,34.427048
2023-08-28 23:55:00,34.60186
2023-08-28 23:55:15,34.486557
2023-08-28 23:55:30,34.477455
2023-08-28 23:55:45,34.499626
2023-08-28 23:56:00,34.471333
2023-08-28 23:56:15,34.486595
2023-08-28 23:56:30,34.462856
2023-08-28 23:56:45,34.409004
2023-08-28 23:57:00,34.478985
2023-08-28 23:57:15,34.45352
2023-08-28 23:57:30,34.415337
2023-08-28 23:57:45,34.516014
2023-08-28 23:58:00,34.461975
2023-08-28 23:58:15,34.48809
2023-08-28 23:58:30,34.469116
2023-08-28 23:58:45,34.48932
2023-08-28 23:59:00,34.48446
2023-08-28 23:59:15,34.50218
2023-08-28 23:59:30,34.42221
2023-08-28 23:59:45,34.449673
2023-08-29 00:00:00,34.49639
2023-08-29 00:00:15,34.43047
2023-08-29 00:00:30,34.514053
2023-08-29 00:00:45,34.38057
2023-08-29 00:01:00,34.484566
2023-08-29 00:01:15,34.514275
2023-08-29 00:01:30,34.53664
2023-08-29 00:01:45,34.42212
2023-08-29 00:02:00,34.29739
2023-08-29 00:02:15,34.560726
2023-08-29 00:02:30,34.46724
2023-08-29 00:02:45,34.441727
2023-08-29 00:03:00,34.465977
2023-08-29 00:03:15,34.528664
2023-08-29 00:03:30,34.430096
2023-08-29 00:03:45,34.476414
2023-08-29 00:04:00,34.436916
2023-08-29 00:04:15,34.411472
2023-08-29 00:04:30,34.512814
2023-08-29 00:04:45,34.44857
2023-08-29 00:05:00,34.455772
2023-08-29 00:05:15,34.477432
2023-08-29 00:05:30,34.496265
2023-08-29 00:05:45,34.510273
2023-08-29 00:06:00,34.44617
2023-08-29 00:06:15,34.470894
2023-08-29 00:06:30,34.46026
2023-08-29 00:06:45,34.490097
2023-08-29 00:07:00,34.40557
2023-08-29 00:07:15,34.469746
2023-08-29 00:07:30,34.474857
2023-08-29 00:07:45,34.40768
2023-08-29 00:08:00,34.440197
2023-08-29 00:08:15,34.425343
2023-08-29 00:08:30,34.49006
2023-08-29 00:08:45,34.49724
2023-08-29 00:09:00,34.455563
2023-08-29 00:09:15,34.553307
2023-08-29 00:09:30,34.37962
2023-08-29 00:09:45,34.4355
2023-08-29 00:10:00,34.48983
2023-08-29 00:10:15,34.400063
2023-08-29 00:10:30,34.436462
2023-08-29 00:10:45,34.43616
2023-08-29 00:11:00,34.45321
2023-08-29 00:11:15,34.438366
2023-08-29 00:11:30,34.470753
2023-08-29 00:11:45,34.475414
2023-08-29 00:12:00,34.494026
2023-08-29 00:12:15,34.473537
2023-08-29 00:12:30,34.52231
2023-08-29 00:12:45,34.518948
2023-08-29 00:13:00,34.536667
2023-08-29 00:13:15,34.504986
2023-08-29 00:13:30,34.48155
2023-08-29 00:13:45,34.40798
2023-08-29 00:14:00,34.42787
2023-08-29 00:14:15,34.49095
2023-08-29 00:14:30,34.39518
2023-08-29 00:14:45,34.397316
2023-08-29 00:15:00,34.40942
2023-08-29 00:15:15,34.39211
2023-08-29 00:15:30,34.421585
2023-08-29 00:15:45,34.442146
2023-08-29 00:16:00,34.431953
2023-08-29 00:16:15,34.482105
2023-08-29 00:16:30,34.528385
2023-08-29 00:16:45,34.489597
2023-08-29 00:17:00,34.43157
2023-08-29 00:17:15,34.484566
2023-08-29 00:17:30,34.525047
2023-08-29 00:17:45,34.458855
2023-08-29 00:18:00,34.446007
2023-08-29 00:18:15,34.38864
2023-08-29 00:18:30,34.524918
2023-08-29 00:18:45,34.464165
2023-08-29 00:19:00,34.50298
2023-08-29 00:19:15,34.385708
2023-08-29 00:19:30,34.478546
2023-08-29 00:19:45,34.457638
2023-08-29 00:20:00,34.37215
2023-08-29 00:20:15,34.507294
2023-08-29 00:20:30,34.49108
2023-08-29 00:20:45,34.480297
2023-08-29 00:21:00,34.44117
2023-08-29 00:21:15,34.519352
2023-08-29 00:21:30,34.43918
2023-08-29 00:21:45,34.40701
2023-08-29 00:22:00,34.486908
2023-08-29 00:22:15,34.536724
2023-08-29 00:22:30,34.50771
2023-08-29 00:22:45,34.471123
2023-08-29 00:23:00,34.44269
2023-08-29 00:23:15,34.4296
2023-08-29 00:23:30,34.384037
2023-08-29 00:23:45,34.51789
2023-08-29 00:24:00,34.458138
2023-08-29 00:24:15,34.466496
2023-08-29 00:24:30,34.496834
2023-08-29 00:24:45,34.45264
2023-08-29 00:25:00,34.422363
2023-08-29 00:25:15,34.46609
2023-08-29 00:25:30,34.46425
2023-08-29 00:25:45,34.42553
2023-08-29 00:26:00,34.393047
2023-08-29 00:26:15,34.428646
2023-08-29 00:26:30,34.604027
2023-08-29 00:26:45,34.521267
2023-08-29 00:27:00,34.455006
2023-08-29 00:27:15,34.529266
2023-08-29 00:27:30,34.457058
2023-08-29 00:27:45,34.383827
2023-08-29 00:28:00,34.532455
2023-08-29 00:28:15,34.48575
2023-08-29 00:28:30,34.42263
2023-08-29 00:28:45,34.48236
2023-08-29 00:29:00,34.43492
2023-08-29 00:29:15,34.522682
2023-08-29 00:29:30,34.469696
2023-08-29 00:29:45,34.3975
2023-08-29 00:30:00,34.583282
2023-08-29 00:30:15,34.393467
2023-08-29 00:30:30,34.507095
2023-08-29 00:30:45,34.48184
2023-08-29 00:31:00,34.472157
2023-08-29 00:31:15,34.372337
2023-08-29 00:31:30,34.428947
2023-08-29 00:31:45,34.478416
2023-08-29 00:32:00,34.443954
2023-08-29 00:32:15,34.448036
2023-08-29 00:32:30,34.445786
2023-08-29 00:32:45,34.429623
2023-08-29 00:33:00,34.499153
2023-08-29 00:33:15,34.578655
2023-08-29 00:33:30,34.53793
2023-08-29 00:33:45,34.437668
2023-08-29 00:34:00,34.58442
2023-08-29 00:34:15,34.398117
2023-08-29 00:34:30,34.487137
2023-08-29 00:34:45,34.468678
2023-08-29 00:35:00,34.3924
2023-08-29 00:35:15,34.41057
2023-08-29 00:35:30,34.510643
2023-08-29 00:35:45,34.563778
2023-08-29 00:36:00,34.41885
2023-08-29 00:36:15,34.434467
